size,path
700,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Newark#2023-10-29 22:51:49/3#Boston#2023-10-28 22:08:00+00:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Newark#2023-10-29 22:51:49/3#Boston#2023-10-28 22:08:00+00:00/3#Boston#2023-10-28 22:08:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Newark#2023-10-29 22:51:49/3#Boston#2023-10-28 22:08:00+00:00/3#Southborough#2023-10-28 22:36:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Newark#2023-10-29 22:51:49/3#Boston#2023-10-28 22:08:00+00:00/3#Bloomfield#2023-10-28 23:53:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Newark#2023-10-29 22:51:49/3#Boston#2023-10-28 22:08:00+00:00/3#Concord#2023-10-28 23:16:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Newark#2023-10-29 22:51:49/3#Boston#2023-10-28 22:08:00+00:00/3#Nashua#2023-10-28 22:52:00
600,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49
700,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49/2#Taunton#2023-10-30 08:31:00+00:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49/2#Taunton#2023-10-30 08:31:00+00:00/2#Merrimack#2023-10-30 09:55:00
800,0#Augusta#2023-10-20T13:00:00+00:00/0#Fitzgerald#2023-10-20 15:20:00/1#Concord#2023-10-28 13:41:00+00:00/1#Concord#2023-10-28 13:41:00/2#New York#2023-10-29 22:23:49+00:00/2#Edison#2023-10-29 22:59:49/2#Taunton#2023-10-30 08:31:00+00:00/2#Portsmouth#2023-10-30 10:04:00
